,winery,wine,year,rating,num_reviews,country,region,type,body,acidity,price_predicted
78,Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,50.638131607769765
79,Emilio Moro,Malleolus de Valderramiro,2016,4.7,300,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,46.62021792941823
80,Dominio de Pingus,Pingus,2001,4.7,295,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,31.329340638034637
81,Vega Sicilia,Unico,1986,4.7,292,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,51.75549337624602
82,Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,53.33323536606099
83,Dominio de Pingus,Pingus,2004,4.7,285,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,55.66737768123471
84,Dominio de Pingus,Pingus,2006,4.7,280,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,62.67568941443801
85,Bodegas El Nido,El Nido,2017,4.7,268,Espana,Jumilla,Red,4.0,3.0,45.39645034606883
86,Teso La Monja,Alabaster,2016,4.7,264,Espana,Toro,Toro Red,5.0,3.0,36.79414412585561
87,Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256,Espana,Toro,Toro Red,5.0,3.0,63.13277336200986
88,Vega Sicilia,Unico,1985,4.7,254,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,53.0765174457249
89,Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,251,Espana,Castilla y Leon,Tempranillo,4.0,2.0,54.714386696707834
90,Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243,Espana,Rioja,Rioja Red,4.0,3.0,42.90311343351368
91,Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240,Espana,Rioja,Rioja Red,4.0,3.0,34.434869767538885
92,Vega Sicilia,Unico,1968,4.7,225,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,54.452611003751144
93,Vinedos de Paganos,La Nieta,2018,4.7,220,Espana,Rioja,Rioja Red,4.0,3.0,56.70559796114253
94,Vega Sicilia,Unico,1964,4.7,214,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,29.67282794395942
95,Vega Sicilia,Unico,1982,4.7,205,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,56.7725638360846
96,Dominio de Pingus,Pingus,2015,4.7,203,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,40.18073611057139
97,Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.17280117666678
98,Dominio de Pingus,Pingus,1999,4.7,184,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,43.938040591714525
99,Vega Sicilia,Unico,1974,4.7,173,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,42.208529018226045
100,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171,Espana,Priorato,Priorat Red,4.0,3.0,59.32360410900969
101,Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Espana,Toro,Toro Red,5.0,3.0,44.730233141229064
102,Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,53.432654144282196
103,Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,57.54875920473546
104,Vega Sicilia,Valbuena 5o,2017,4.7,133,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,36.63527790084504
105,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132,Espana,Priorato,Priorat Red,4.0,3.0,37.412305735670316
106,Bodega Numanthia,Termanthia,2005,4.7,131,Espana,Toro,Toro Red,5.0,3.0,55.32950440311629
107,Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,58.0634280987299
108,Emilio Moro,Clon De La Familia,2010,4.7,127,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,33.32276333970117
109,Alto Moncayo,Aquilon Garnacha,2011,4.7,123,Espana,Campo de Borja,Grenache,5.0,3.0,60.8980498250578
110,Vega Sicilia,Unico,1983,4.7,118,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,45.427007794080964
111,Toro Albala,Don PX Convento Seleccion,1955,4.7,117,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,58.184935016688314
112,Vega Sicilia,Unico,1980,4.7,116,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,45.21672924073346
113,Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112,Espana,Rioja,Rioja Red,4.0,3.0,55.75869478342861
114,Vega Sicilia,Unico,1972,4.7,110,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.52076983929396
115,Bodega Numanthia,Termanthia,2004,4.7,108,Espana,Toro,Toro Red,5.0,3.0,72.076196407824
116,Teso La Monja,Tinto,2010,4.7,102,Espana,Toro,Toro Red,5.0,3.0,46.157675415987796
117,Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Espana,Rioja,Rioja Red,4.0,3.0,44.58016459686473
118,Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,38.23329718031323
119,Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94,Espana,Priorato,Priorat Red,4.0,3.0,60.43590810486489
120,Finca Moncloa,Tintilla de Rota,2016,4.7,92,Espana,Cadiz,unknown,4.0,3.0,49.17837289128852
121,Vega Sicilia,Unico,1953,4.7,89,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,62.015411593534054
122,Bodegas Roda,Cirsion Rioja,2000,4.7,87,Espana,Rioja,Rioja Red,4.0,3.0,30.21197886955838
123,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82,Espana,Priorato,Priorat Red,4.0,3.0,55.96543099676842
124,Bodegas El Nido,El Nido,2019,4.7,80,Espana,Jumilla,Red,4.0,3.0,32.94285866176574
125,Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74,Espana,Priorato,Priorat Red,4.0,3.0,57.10739321079677
126,Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,45.71313471428948
127,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67,Espana,Priorato,Priorat Red,4.0,3.0,47.00983756544656
128,Martinet,Cami Pesseroles,2006,4.7,65,Espana,Priorato,Priorat Red,4.0,3.0,59.78068805658154
129,Recaredo,Turo d'en Mota,2007,4.7,64,Espana,Cava,Cava,2.0,3.0,43.92890888149486
130,Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,58.79092101287665
131,Clos Erasmus,Priorat,2007,4.7,60,Espana,Priorato,Priorat Red,4.0,3.0,48.76659226557217
132,Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,23.497078368054645
133,Barbadillo,Reliquia Palo Cortado Sherry,2017,4.7,58,Espana,Jerez Palo Cortado,Sherry,4.0,3.0,40.43124465808728
134,La Rioja Alta,Gran Reserva 890,1982,4.7,57,Espana,Rioja,Rioja Red,4.0,3.0,56.46488037373024
135,Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53,Espana,Jerez Palo Cortado,Sherry,4.0,3.0,65.36749689896237
136,Clos Erasmus,Daphne Glorian Red,2007,4.7,51,Espana,Priorato,Red,4.0,3.0,68.99205374449275
137,Toro Albala,Don PX Pedro Ximenez,1955,4.7,50,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,57.832091439837995
138,Vinedos de Paganos,La Nieta,2019,4.7,49,Espana,Rioja,Rioja Red,4.0,3.0,51.69338475993641
139,Bodegas Amaren,El Regollar,2016,4.7,49,Espana,Rioja,Rioja Red,4.0,3.0,42.37335582684
140,Toro Albala,Don PX Convento Seleccion,1958,4.7,47,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,56.349740489815986
141,Teso La Monja,Alabaster,2018,4.7,45,Espana,Toro,Toro Red,5.0,3.0,44.90016328646061
142,Alvear,Abuelo Diego Palo Cortado,2017,4.7,42,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,62.79004805337695
143,Equipo Navazos,La Bota 78 de Oloroso,2017,4.7,41,Espana,Manzanilla,Sherry,4.0,3.0,41.44724914596486
144,Morca,Touran,2018,4.7,41,Espana,Campo de Borja,Grenache,5.0,3.0,66.75272216720782
145,Territorio Luthier,Luthier Gran Reserva,2012,4.7,40,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,47.94254810826055
146,Artadi,Vina El Pison,1995,4.7,39,Espana,Vino de Espana,Tempranillo,4.0,2.0,36.94354461107355
147,Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37,Espana,Valdeorras,unknown,4.0,3.0,41.104724974749615
148,Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35,Espana,Cava,Cava,2.0,3.0,62.36521126697767
149,Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33,Espana,Castilla y Leon,Tempranillo,4.0,2.0,63.36542493952766
150,Vina Sastre,Pesus Ribera del Duero,2004,4.7,32,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,30.586053768243573
151,Terra Remota,Usted,2010,4.7,31,Espana,Emporda,Red,4.0,3.0,62.5115678487889
152,Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,38.3885362540434
153,Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,47.003352117455506
154,Miguel Merino,La Loma,2018,4.7,29,Espana,Rioja Alta,Rioja Red,4.0,3.0,57.16349839073882
155,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28,Espana,Priorato,Priorat Red,4.0,3.0,41.94365461952043
156,Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27,Espana,Alicante,unknown,4.0,3.0,35.228745308754014
157,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,Espana,Rioja,Rioja Red,4.0,3.0,51.09242402229552
158,Vega Sicilia,Valbuena 5o,2011,4.6,6803,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.337041156262785
159,Vega Sicilia,Valbuena 5o,2012,4.6,5938,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,50.27933983772209
160,Vega Sicilia,Valbuena 5o,2008,4.6,5545,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.57117250026067
161,Vega Sicilia,Valbuena 5o,2007,4.6,5116,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,40.102503090188065
162,Vega Sicilia,Valbuena 5o,2013,4.6,4747,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,42.59620763499129
163,Vega Sicilia,Valbuena 5o,2009,4.6,4685,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,69.42258113735375
164,Alion,Ribera del Duero,2016,4.6,4516,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,23.58125958163555
165,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,39.21952188401042
166,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,37.93369997367722
167,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Espana,Rioja,Rioja Red,4.0,3.0,43.03284673382245
168,Alion,Ribera del Duero,2017,4.6,2208,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,54.98502368191521
169,Vega Sicilia,Valbuena 5o,2004,4.6,1608,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,36.435212742192334
170,Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.16955309419586
171,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,46.641701096852785
172,Vega Sicilia,Valbuena 5o,2000,4.6,1015,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,48.87472969252576
173,Vega Sicilia,Valbuena 5o,2002,4.6,936,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.406977559900724
174,Bodega Numanthia,Termanthia,2012,4.6,840,Espana,Toro,Toro Red,5.0,3.0,48.8764246338053
175,Bodega Numanthia,Termanthia,2011,4.6,790,Espana,Toro,Toro Red,5.0,3.0,47.117898990389676
176,Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,38.737983325545656
177,Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,47.757367924049504
178,Vega Sicilia,Valbuena 5o,1999,4.6,595,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.955315401823555
179,Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,45.52433932837698
180,Dominio de Pingus,Pingus,2010,4.6,410,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.59569957110193
181,Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,32.716424741570336
182,Dominio de Pingus,Pingus,2012,4.6,400,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,33.61766936818685
183,Dominio del Bendito,El Titan del Bendito,2015,4.6,388,Espana,Toro,Toro Red,5.0,3.0,38.23601849070792
184,Emilio Moro,Malleolus de Sanchomartin,2015,4.6,369,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,39.5753059806259
185,Dominio de Pingus,Pingus,2013,4.6,323,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,46.61734986960141
186,Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,313,Espana,Castilla y Leon,Tempranillo,4.0,2.0,45.499988101125155
187,Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,304,Espana,Castilla y Leon,Tempranillo,4.0,2.0,50.402900006928576
188,Dominio de Pingus,Pingus,2005,4.6,293,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,39.355895717059184
189,Vinedos de Paganos,La Nieta,2017,4.6,286,Espana,Rioja,Rioja Red,4.0,3.0,44.3826263326489
190,Artadi,Vina El Pison,2006,4.6,274,Espana,Vino de Espana,Tempranillo,4.0,2.0,44.34520341399207
191,Dominio de Pingus,Pingus,1998,4.6,244,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,43.26526456417264
192,Bodegas Roda,Cirsion Rioja,2007,4.6,242,Espana,Rioja,Rioja Red,4.0,3.0,49.28553823845232
193,Bodegas Roda,Cirsion Rioja,2012,4.6,231,Espana,Rioja,Rioja Red,4.0,3.0,48.84112834110738
194,Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,225,Espana,Rioja,Rioja Red,4.0,3.0,31.599062973094533
195,Marques de Murrieta,Dalmau Rioja,2017,4.6,222,Espana,Rioja,Rioja Red,4.0,3.0,48.60699699710949
196,Vega Sicilia,Unico,1965,4.6,218,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.74418632295033
197,Sierra Cantabria,Finca el Bosque,2015,4.6,214,Espana,Rioja,Rioja Red,4.0,3.0,39.91317925874432
198,Vina Sastre,Pago de Santa Cruz,2018,4.6,211,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,38.68916245709465
199,Dominio de Pingus,Pingus,2003,4.6,205,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.98309055513573
200,Mas d'en Gil,Clos Fonta Priorat,2004,4.6,202,Espana,Priorato,Priorat Red,4.0,3.0,38.59200676638807
201,Carmelo Rodero,Pago De Valtarrena,2016,4.6,200,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,62.78997467866566
202,Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,197,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.95849010958318
203,Emilio Moro,Malleolus de Sanchomartin,2014,4.6,186,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.768555205792154
204,Vega Sicilia,Valbuena 5o,1992,4.6,176,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,43.22784164551581
